Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum,creativity_index
STUD0681,18,Non-binary,Undergraduate,Law,No,10,4,Yes,History,Intermediate,5,Yes,3,Medium,No,Negative,No,Europe,No,3.0
STUD0682,21,Female,Postgraduate,Science,No,2,2,Yes,Biology,Advanced,5,No,5,Low,Yes,Positive,Yes,Africa,Yes,5.0
STUD0683,12,Female,Postgraduate,Medicine,No,7,1,Yes,Computer Science,Intermediate,5,No,3,Low,No,Positive,No,North America,No,3.0
STUD0684,27,Female,Undergraduate,Arts,Yes,10,4,No,Biology,Advanced,1,Yes,3,High,Yes,Positive,Yes,Africa,No,3.0
STUD0685,22,Non-binary,Undergraduate,Education,No,3,5,Yes,Computer Science,Beginner,3,Yes,5,Low,Yes,Negative,Yes,Asia,Yes,5.0
STUD0686,15,Non-binary,Postgraduate,Law,No,8,3,Yes,Math,Advanced,1,Yes,3,Medium,Yes,Neutral,No,North America,Yes,3.0
STUD0687,12,Female,Postgraduate,Business,Yes,6,3,No,Art,Beginner,3,No,1,High,Yes,Negative,Yes,Africa,Yes,1.0
STUD0688,25,Non-binary,High School,Science,No,0,1,Yes,Art,Beginner,1,No,5,Medium,Yes,Neutral,No,Asia,No,5.0
STUD0689,29,Prefer not to say,Undergraduate,Arts,No,7,3,No,History,Advanced,5,No,2,Medium,No,Negative,Yes,Asia,No,2.0
STUD0690,22,Prefer not to say,Undergraduate,Education,Yes,0,3,No,History,Beginner,1,Yes,3,Low,Yes,Neutral,No,Asia,Yes,3.0
STUD0691,12,Female,Undergraduate,Engineering,Yes,2,1,No,Art,Advanced,2,No,1,Low,Yes,Neutral,No,South America,No,1.0
STUD0692,24,Female,High School,Science,Yes,1,4,No,History,Advanced,4,Yes,1,Medium,No,Negative,No,Europe,Yes,1.0
STUD0693,13,Prefer not to say,High School,Education,No,7,2,Yes,Computer Science,Intermediate,5,No,3,Low,Yes,Negative,Yes,North America,No,3.0
STUD0694,22,Non-binary,Undergraduate,Education,No,10,3,No,Economics,Advanced,3,Yes,3,High,No,Positive,No,Africa,Yes,3.0
STUD0695,29,Prefer not to say,Undergraduate,Arts,No,4,2,No,History,Intermediate,2,No,1,High,Yes,Positive,Yes,North America,Yes,1.0
STUD0696,17,Prefer not to say,Undergraduate,Arts,Yes,4,5,Yes,Biology,Intermediate,3,No,3,Medium,No,Positive,Yes,North America,Yes,3.0
STUD0697,27,Female,Undergraduate,Education,Yes,5,2,Yes,Computer Science,Advanced,5,Yes,1,Low,Yes,Neutral,No,Europe,No,1.0
STUD0698,20,Non-binary,Postgraduate,Engineering,Yes,5,4,Yes,Math,Advanced,2,Yes,3,High,Yes,Positive,No,Africa,Yes,3.0
STUD0699,25,Female,Undergraduate,Law,Yes,3,1,Yes,Economics,Intermediate,3,No,2,Medium,No,Neutral,No,North America,Yes,2.0
STUD0700,15,Non-binary,High School,Science,No,1,3,Yes,History,Advanced,1,No,3,High,No,Positive,No,Europe,Yes,3.0
STUD0701,19,Prefer not to say,Undergraduate,Arts,No,4,5,Yes,Biology,Beginner,5,No,3,Low,Yes,Positive,No,Africa,Yes,3.0
STUD0702,21,Female,Postgraduate,Law,Yes,1,4,No,Art,Intermediate,5,Yes,2,Low,Yes,Negative,Yes,South America,Yes,2.0
STUD0703,29,Non-binary,High School,Business,Yes,7,5,Yes,Math,Advanced,1,No,1,Low,Yes,Negative,Yes,Asia,No,1.0
STUD0704,13,Female,Undergraduate,Science,Yes,5,1,Yes,Economics,Advanced,1,Yes,3,Medium,Yes,Neutral,Yes,Asia,No,3.0
STUD0705,20,Female,Undergraduate,Science,No,1,3,No,Biology,Intermediate,3,Yes,3,Low,No,Negative,Yes,Africa,No,3.0
STUD0706,28,Female,Postgraduate,Law,No,6,2,No,Art,Intermediate,5,No,4,Low,Yes,Negative,Yes,North America,Yes,4.0
STUD0707,15,Prefer not to say,High School,Education,Yes,4,1,No,Computer Science,Advanced,3,Yes,1,Medium,No,Neutral,Yes,North America,No,1.0
STUD0708,27,Female,High School,Medicine,Yes,7,2,Yes,Math,Advanced,2,No,1,Medium,Yes,Negative,No,North America,Yes,1.0
STUD0709,24,Female,Undergraduate,Engineering,Yes,1,5,Yes,Art,Beginner,2,No,4,Low,Yes,Neutral,No,Asia,No,4.0
STUD0710,19,Male,Postgraduate,Medicine,Yes,3,2,Yes,Math,Intermediate,1,Yes,2,High,Yes,Negative,Yes,South America,No,2.0
STUD0711,24,Male,Undergraduate,Science,No,4,5,No,Art,Advanced,2,Yes,1,High,Yes,Negative,Yes,Asia,No,1.0
STUD0712,18,Prefer not to say,Undergraduate,Medicine,Yes,4,3,No,Computer Science,Beginner,5,No,1,High,No,Negative,Yes,North America,Yes,1.0
STUD0713,14,Non-binary,Undergraduate,Business,Yes,5,5,Yes,Computer Science,Intermediate,2,No,5,Medium,Yes,Neutral,Yes,North America,No,5.0
STUD0714,30,Female,Postgraduate,Engineering,Yes,6,3,Yes,History,Intermediate,1,Yes,4,Low,Yes,Positive,No,Africa,Yes,4.0
STUD0715,30,Male,High School,Science,Yes,7,5,Yes,Biology,Advanced,1,No,1,Low,No,Positive,No,South America,No,1.0
STUD0716,20,Male,Postgraduate,Law,Yes,1,4,No,Computer Science,Advanced,4,No,5,Medium,No,Positive,No,Asia,Yes,5.0
STUD0717,13,Male,Undergraduate,Engineering,Yes,10,5,No,Computer Science,Intermediate,4,No,4,High,Yes,Negative,Yes,South America,No,4.0
STUD0718,19,Prefer not to say,Postgraduate,Medicine,No,9,1,No,History,Advanced,1,No,4,Low,Yes,Positive,Yes,Asia,No,4.0
STUD0719,14,Non-binary,Undergraduate,Business,Yes,9,4,Yes,History,Intermediate,3,No,1,Medium,No,Neutral,No,Asia,Yes,1.0
STUD0720,17,Non-binary,High School,Education,Yes,6,4,No,Physics,Advanced,5,No,4,Medium,No,Negative,No,Oceania,No,4.0
STUD0721,21,Male,High School,Education,Yes,1,1,No,Math,Intermediate,3,Yes,5,Low,Yes,Positive,No,Asia,No,5.0
STUD0722,28,Non-binary,Postgraduate,Arts,Yes,3,3,No,Math,Advanced,4,No,3,High,No,Neutral,No,Europe,Yes,3.0
STUD0723,18,Prefer not to say,Undergraduate,Arts,No,4,4,Yes,Economics,Beginner,2,Yes,2,Low,Yes,Positive,Yes,South America,Yes,2.0
STUD0724,20,Female,Postgraduate,Education,No,4,5,Yes,Biology,Beginner,2,No,5,High,No,Positive,Yes,Africa,No,5.0
STUD0725,29,Prefer not to say,Undergraduate,Engineering,No,7,4,Yes,Computer Science,Intermediate,2,No,3,Low,No,Negative,Yes,South America,Yes,3.0
STUD0726,22,Non-binary,High School,Engineering,Yes,10,3,No,Biology,Beginner,3,No,1,Medium,No,Negative,No,Oceania,Yes,1.0
STUD0727,19,Non-binary,High School,Law,No,5,4,No,Economics,Beginner,3,Yes,2,Low,Yes,Positive,Yes,South America,Yes,2.0
STUD0728,29,Female,Postgraduate,Law,No,9,5,No,Physics,Beginner,1,Yes,2,Medium,No,Negative,Yes,Europe,No,2.0
STUD0729,22,Male,High School,Law,No,7,1,Yes,Economics,Intermediate,5,Yes,2,High,No,Negative,No,Africa,No,2.0
STUD0730,20,Female,Undergraduate,Medicine,Yes,8,5,Yes,History,Advanced,2,Yes,1,High,Yes,Neutral,No,South America,Yes,1.0
STUD0731,26,Male,Postgraduate,Science,No,4,2,No,Economics,Beginner,3,Yes,5,High,Yes,Neutral,No,Asia,Yes,5.0
STUD0732,24,Non-binary,Undergraduate,Business,Yes,4,3,No,Economics,Beginner,3,No,3,Low,Yes,Negative,No,South America,No,3.0
STUD0733,24,Female,Undergraduate,Science,Yes,6,2,No,Physics,Beginner,1,Yes,3,Low,No,Negative,Yes,Oceania,No,3.0
STUD0734,25,Female,Postgraduate,Law,Yes,0,1,Yes,Computer Science,Beginner,2,No,5,Medium,No,Negative,Yes,South America,Yes,5.0
STUD0735,29,Male,Postgraduate,Business,Yes,2,3,Yes,Math,Advanced,2,Yes,2,High,Yes,Neutral,No,Africa,Yes,2.0
STUD0736,17,Male,High School,Science,No,4,3,Yes,Computer Science,Intermediate,3,Yes,5,Low,Yes,Neutral,Yes,North America,No,5.0
STUD0737,19,Non-binary,High School,Medicine,Yes,10,1,No,Computer Science,Intermediate,5,No,4,High,Yes,Positive,Yes,Europe,No,4.0
STUD0738,13,Prefer not to say,Postgraduate,Arts,No,10,3,Yes,Art,Advanced,5,Yes,5,High,No,Neutral,No,Asia,Yes,5.0
STUD0739,25,Male,Undergraduate,Medicine,No,0,4,No,Physics,Advanced,1,Yes,1,Medium,No,Positive,No,South America,Yes,1.0
STUD0740,18,Prefer not to say,Undergraduate,Engineering,Yes,8,5,No,Biology,Intermediate,3,Yes,5,Medium,Yes,Neutral,No,Asia,Yes,5.0
STUD0741,30,Non-binary,Postgraduate,Science,Yes,0,5,Yes,Computer Science,Beginner,2,Yes,2,Low,No,Positive,Yes,North America,Yes,2.0
STUD0742,20,Female,Postgraduate,Education,Yes,7,5,No,Math,Beginner,5,No,3,High,Yes,Positive,No,North America,No,3.0
STUD0743,12,Male,Postgraduate,Law,Yes,8,4,No,Art,Intermediate,1,No,2,Low,Yes,Neutral,No,Oceania,No,2.0
STUD0744,17,Non-binary,High School,Education,Yes,1,4,No,History,Advanced,5,Yes,2,Medium,No,Negative,Yes,Asia,No,2.0
STUD0745,27,Prefer not to say,Undergraduate,Business,Yes,9,1,Yes,Biology,Intermediate,5,Yes,4,High,No,Negative,No,Oceania,No,4.0
STUD0746,20,Female,Postgraduate,Law,Yes,9,4,Yes,Biology,Beginner,3,Yes,3,High,No,Positive,No,Asia,No,3.0
STUD0747,17,Female,Undergraduate,Education,Yes,3,3,Yes,History,Beginner,5,Yes,2,Low,Yes,Positive,Yes,North America,No,2.0
STUD0748,19,Non-binary,Postgraduate,Education,Yes,10,3,No,Math,Advanced,5,Yes,1,Medium,Yes,Positive,Yes,Asia,Yes,1.0
STUD0749,30,Male,Postgraduate,Science,No,2,2,No,Math,Advanced,1,Yes,4,Low,No,Neutral,No,Europe,No,4.0
STUD0750,26,Non-binary,Undergraduate,Arts,No,8,5,No,Physics,Beginner,5,Yes,2,High,Yes,Neutral,No,Asia,No,2.0
STUD0751,29,Non-binary,Undergraduate,Law,Yes,1,4,Yes,Math,Beginner,4,No,2,High,No,Positive,Yes,South America,No,2.0
STUD0752,15,Female,Undergraduate,Science,Yes,10,4,Yes,Computer Science,Intermediate,1,Yes,3,High,Yes,Positive,Yes,Africa,Yes,3.0
STUD0753,23,Female,Postgraduate,Engineering,No,0,2,No,Math,Advanced,1,Yes,1,Low,Yes,Negative,Yes,Asia,No,1.0
STUD0754,19,Non-binary,Postgraduate,Business,Yes,10,3,No,Computer Science,Advanced,1,No,3,Medium,Yes,Positive,No,Africa,Yes,3.0
STUD0755,12,Male,High School,Science,Yes,5,5,No,Economics,Intermediate,4,Yes,2,High,No,Positive,Yes,Europe,Yes,2.0
STUD0756,28,Female,Undergraduate,Engineering,Yes,6,1,Yes,Math,Advanced,5,Yes,4,Low,No,Neutral,No,North America,Yes,4.0
STUD0757,16,Non-binary,High School,Arts,No,5,1,Yes,Biology,Intermediate,3,No,2,High,Yes,Negative,No,Europe,Yes,2.0
STUD0758,24,Non-binary,Undergraduate,Business,Yes,3,3,No,Economics,Beginner,5,Yes,1,Low,No,Negative,Yes,Africa,No,1.0
STUD0759,20,Non-binary,Undergraduate,Medicine,No,5,2,No,Art,Advanced,2,No,4,High,Yes,Negative,No,Africa,Yes,4.0
STUD0760,14,Male,Postgraduate,Law,Yes,5,5,Yes,History,Beginner,5,Yes,4,Low,Yes,Positive,No,Oceania,No,4.0
STUD0761,26,Prefer not to say,Undergraduate,Engineering,Yes,10,4,No,Biology,Advanced,4,Yes,3,High,Yes,Negative,No,Europe,Yes,3.0
STUD0762,27,Female,Postgraduate,Medicine,Yes,3,2,No,Art,Beginner,3,No,3,Medium,No,Neutral,No,Oceania,No,3.0
STUD0763,26,Prefer not to say,Postgraduate,Medicine,No,8,4,No,Economics,Intermediate,5,No,5,High,Yes,Positive,Yes,Oceania,No,5.0
STUD0764,23,Non-binary,High School,Medicine,Yes,6,4,Yes,History,Advanced,2,No,4,Medium,Yes,Neutral,Yes,South America,Yes,4.0
STUD0765,13,Male,Undergraduate,Education,Yes,9,5,No,Physics,Beginner,2,Yes,5,Medium,No,Negative,Yes,Oceania,Yes,5.0
STUD0766,18,Male,Postgraduate,Arts,Yes,8,3,No,Economics,Beginner,1,Yes,2,Medium,Yes,Positive,No,Europe,No,2.0
STUD0767,12,Non-binary,Undergraduate,Business,No,7,2,No,Computer Science,Intermediate,5,No,1,High,No,Neutral,Yes,Oceania,No,1.0
STUD0768,19,Male,High School,Education,Yes,7,1,Yes,Economics,Beginner,4,Yes,5,Medium,No,Positive,No,Asia,No,5.0
STUD0769,16,Prefer not to say,Postgraduate,Medicine,No,9,1,Yes,Biology,Intermediate,5,No,5,Low,No,Negative,Yes,North America,No,5.0
STUD0770,29,Male,Postgraduate,Business,Yes,5,5,Yes,History,Advanced,3,No,4,High,Yes,Negative,No,Asia,Yes,4.0
STUD0771,14,Non-binary,Undergraduate,Business,No,4,1,Yes,Economics,Beginner,4,No,2,High,No,Negative,No,Asia,Yes,2.0
STUD0772,20,Prefer not to say,Postgraduate,Arts,No,2,1,No,Math,Beginner,5,No,1,Low,Yes,Negative,Yes,Oceania,No,1.0
STUD0773,14,Male,Undergraduate,Arts,Yes,4,3,Yes,Physics,Beginner,2,Yes,5,Low,No,Positive,Yes,North America,No,5.0
STUD0774,15,Male,Postgraduate,Science,Yes,3,1,Yes,Physics,Beginner,1,Yes,5,High,No,Negative,Yes,Europe,No,5.0
STUD0775,29,Non-binary,High School,Business,No,9,2,Yes,Biology,Advanced,2,Yes,5,High,Yes,Neutral,No,Africa,No,5.0
STUD0776,24,Non-binary,Undergraduate,Education,No,9,4,No,Physics,Advanced,4,Yes,1,Low,Yes,Neutral,Yes,Africa,Yes,1.0
STUD0777,20,Female,Postgraduate,Medicine,Yes,0,2,No,Physics,Intermediate,3,Yes,1,Medium,Yes,Positive,Yes,Africa,No,1.0
STUD0778,16,Prefer not to say,High School,Medicine,No,3,5,Yes,Physics,Beginner,2,No,5,High,Yes,Negative,No,Oceania,No,5.0
STUD0779,29,Non-binary,Undergraduate,Arts,Yes,3,2,No,Art,Advanced,2,Yes,5,Low,Yes,Positive,Yes,Africa,Yes,5.0
STUD0780,12,Prefer not to say,Undergraduate,Business,Yes,6,1,Yes,Economics,Beginner,5,No,4,High,No,Positive,Yes,Africa,Yes,4.0
STUD0781,30,Female,Postgraduate,Law,No,3,1,Yes,Economics,Advanced,5,Yes,4,Medium,Yes,Neutral,Yes,Africa,No,4.0
STUD0782,29,Female,High School,Engineering,No,10,5,Yes,Economics,Advanced,1,Yes,3,High,Yes,Neutral,Yes,Asia,No,3.0
STUD0783,24,Non-binary,Undergraduate,Medicine,No,7,4,Yes,Biology,Beginner,4,No,3,Medium,No,Positive,Yes,Asia,No,3.0
STUD0784,17,Male,Undergraduate,Medicine,Yes,7,5,No,History,Intermediate,2,Yes,3,Low,No,Negative,No,Asia,Yes,3.0
STUD0785,14,Prefer not to say,Postgraduate,Education,Yes,8,1,No,Biology,Intermediate,1,Yes,4,Low,No,Neutral,No,Europe,Yes,4.0
STUD0786,24,Female,Undergraduate,Law,Yes,9,1,No,Economics,Advanced,5,Yes,1,Medium,Yes,Negative,No,South America,Yes,1.0
STUD0787,19,Prefer not to say,Postgraduate,Science,No,7,1,No,Art,Intermediate,4,Yes,4,Low,No,Neutral,Yes,South America,No,4.0
STUD0788,26,Prefer not to say,Undergraduate,Arts,Yes,10,2,No,History,Intermediate,4,No,2,Low,Yes,Negative,Yes,Europe,Yes,2.0
STUD0789,26,Non-binary,Postgraduate,Business,No,3,5,Yes,Math,Intermediate,5,No,1,Medium,No,Negative,Yes,North America,Yes,1.0
STUD0790,21,Male,Postgraduate,Business,No,6,5,No,History,Intermediate,4,Yes,4,High,No,Positive,Yes,Asia,Yes,4.0
STUD0791,17,Prefer not to say,Postgraduate,Business,No,1,2,No,Biology,Intermediate,2,No,3,Medium,Yes,Positive,No,Europe,Yes,3.0
STUD0792,12,Male,High School,Law,No,5,5,Yes,Biology,Beginner,2,Yes,3,Low,Yes,Positive,Yes,Africa,Yes,3.0
STUD0793,30,Non-binary,Undergraduate,Education,Yes,3,2,No,Physics,Beginner,5,Yes,2,Low,Yes,Negative,Yes,Africa,Yes,2.0
STUD0794,23,Prefer not to say,High School,Science,No,5,4,Yes,History,Intermediate,5,No,5,Low,Yes,Neutral,No,Africa,Yes,5.0
STUD0795,24,Prefer not to say,Postgraduate,Science,Yes,5,2,No,Art,Intermediate,2,No,3,Low,Yes,Neutral,No,North America,No,3.0
STUD0796,22,Non-binary,High School,Science,No,3,5,Yes,Physics,Intermediate,1,No,5,Medium,Yes,Neutral,Yes,South America,Yes,5.0
STUD0797,14,Female,High School,Medicine,Yes,4,1,No,Economics,Advanced,1,No,4,Medium,Yes,Positive,No,Europe,No,4.0
STUD0798,14,Male,Undergraduate,Science,Yes,1,2,Yes,Physics,Advanced,3,No,1,Low,No,Positive,No,South America,No,1.0
STUD0799,30,Prefer not to say,Postgraduate,Law,Yes,0,4,Yes,Biology,Advanced,1,No,4,Low,Yes,Neutral,Yes,Europe,No,4.0
STUD0800,20,Male,Postgraduate,Arts,No,6,2,Yes,Physics,Intermediate,4,No,2,High,Yes,Positive,No,Europe,Yes,2.0
STUD0801,30,Non-binary,Undergraduate,Business,No,5,3,No,Computer Science,Advanced,1,Yes,4,Low,Yes,Positive,Yes,Oceania,Yes,4.0
STUD0802,23,Male,Undergraduate,Arts,No,4,5,Yes,Computer Science,Advanced,1,Yes,1,Low,Yes,Positive,No,Africa,Yes,1.0
STUD0803,14,Male,Undergraduate,Business,Yes,0,5,No,Computer Science,Intermediate,5,No,1,High,No,Neutral,Yes,Asia,No,1.0
STUD0804,27,Prefer not to say,Undergraduate,Science,Yes,1,2,Yes,Math,Advanced,5,No,2,High,Yes,Positive,Yes,South America,No,2.0
STUD0805,29,Male,High School,Business,Yes,9,5,No,Biology,Beginner,1,No,5,High,No,Negative,Yes,Europe,No,5.0
STUD0806,12,Prefer not to say,High School,Science,Yes,6,2,Yes,Computer Science,Beginner,3,Yes,5,Medium,No,Neutral,Yes,North America,Yes,5.0
STUD0807,27,Prefer not to say,Postgraduate,Science,Yes,5,3,Yes,Art,Intermediate,3,No,4,Medium,No,Positive,Yes,Oceania,Yes,4.0
STUD0808,13,Female,Undergraduate,Law,Yes,4,5,Yes,History,Intermediate,2,No,2,High,No,Negative,No,Europe,No,2.0
STUD0809,30,Male,High School,Science,No,2,5,Yes,Art,Advanced,3,Yes,5,High,No,Positive,No,Africa,No,5.0
STUD0810,21,Prefer not to say,High School,Education,No,1,4,Yes,History,Advanced,1,No,5,Low,Yes,Positive,Yes,Africa,Yes,5.0
STUD0811,24,Prefer not to say,Undergraduate,Business,No,1,1,Yes,History,Advanced,5,No,4,Low,Yes,Neutral,Yes,Oceania,Yes,4.0
STUD0812,24,Male,Undergraduate,Business,No,8,4,Yes,History,Advanced,2,No,5,Low,Yes,Positive,Yes,North America,Yes,5.0
STUD0813,24,Female,High School,Engineering,Yes,6,4,Yes,History,Intermediate,3,Yes,1,Low,No,Neutral,No,Asia,Yes,1.0
STUD0814,26,Prefer not to say,Postgraduate,Education,No,8,2,No,Biology,Beginner,2,Yes,3,Low,Yes,Positive,No,Asia,Yes,3.0
STUD0815,27,Prefer not to say,High School,Science,Yes,4,1,Yes,Art,Advanced,4,Yes,5,High,Yes,Neutral,No,Africa,No,5.0
STUD0816,29,Prefer not to say,Undergraduate,Law,Yes,3,1,No,Math,Beginner,3,No,5,Low,No,Neutral,No,Asia,No,5.0
STUD0817,21,Non-binary,Postgraduate,Science,Yes,1,5,Yes,Computer Science,Beginner,2,Yes,3,Medium,No,Negative,No,Asia,Yes,3.0
STUD0818,15,Prefer not to say,High School,Business,No,10,4,Yes,Art,Advanced,5,No,2,Medium,No,Negative,No,Oceania,No,2.0
STUD0819,12,Prefer not to say,Undergraduate,Education,No,10,4,No,History,Intermediate,3,Yes,1,Medium,Yes,Negative,Yes,Asia,No,1.0
STUD0820,21,Female,High School,Medicine,Yes,7,1,No,Biology,Intermediate,3,Yes,3,High,No,Positive,No,Asia,Yes,3.0
STUD0821,27,Non-binary,Postgraduate,Education,Yes,4,2,No,Economics,Intermediate,4,No,4,High,No,Negative,No,Europe,Yes,4.0
STUD0822,25,Female,Postgraduate,Engineering,Yes,4,3,No,Economics,Intermediate,5,Yes,3,Low,Yes,Neutral,No,Asia,No,3.0
STUD0823,21,Female,High School,Medicine,No,0,5,Yes,Economics,Intermediate,4,No,3,High,No,Positive,Yes,Asia,No,3.0
STUD0824,29,Female,Undergraduate,Arts,Yes,9,2,Yes,Art,Advanced,3,Yes,4,High,No,Neutral,Yes,South America,Yes,4.0
STUD0825,24,Male,High School,Engineering,No,2,5,No,Economics,Advanced,4,Yes,1,High,Yes,Negative,Yes,Asia,Yes,1.0
STUD0826,28,Male,High School,Engineering,No,1,2,No,Art,Beginner,4,Yes,4,Low,No,Neutral,Yes,Europe,No,4.0
STUD0827,13,Male,Undergraduate,Science,No,4,4,Yes,Math,Intermediate,5,Yes,1,Low,No,Neutral,No,South America,No,1.0
STUD0828,16,Male,Postgraduate,Medicine,Yes,7,3,No,Biology,Beginner,4,No,3,Medium,No,Neutral,Yes,North America,No,3.0
STUD0829,22,Non-binary,Postgraduate,Medicine,Yes,4,4,No,Economics,Beginner,3,Yes,5,Medium,Yes,Positive,Yes,North America,Yes,5.0
STUD0830,15,Male,Undergraduate,Medicine,Yes,7,4,Yes,Computer Science,Advanced,4,No,1,High,No,Negative,No,South America,Yes,1.0
STUD0831,21,Prefer not to say,High School,Science,No,9,4,No,History,Advanced,5,No,2,High,No,Negative,No,Oceania,Yes,2.0
STUD0832,21,Male,High School,Engineering,No,6,5,No,Biology,Beginner,5,No,2,Low,No,Negative,No,Africa,No,2.0
STUD0833,17,Prefer not to say,High School,Science,Yes,9,4,Yes,Biology,Intermediate,3,Yes,2,High,No,Positive,No,Africa,Yes,2.0
STUD0834,29,Prefer not to say,Undergraduate,Law,Yes,4,3,No,History,Beginner,2,No,2,Medium,Yes,Positive,No,Asia,No,2.0
STUD0835,12,Prefer not to say,High School,Education,Yes,4,5,Yes,Computer Science,Intermediate,3,Yes,5,Medium,No,Positive,Yes,Africa,No,5.0
STUD0836,18,Female,Undergraduate,Science,No,5,4,Yes,Biology,Advanced,2,No,5,Medium,No,Negative,Yes,North America,No,5.0
STUD0837,26,Non-binary,Undergraduate,Science,No,6,4,No,Economics,Beginner,4,Yes,2,Medium,No,Positive,No,Europe,No,2.0
STUD0838,21,Female,Undergraduate,Business,No,6,4,No,Art,Intermediate,2,No,3,Low,Yes,Negative,No,Oceania,Yes,3.0
STUD0839,27,Prefer not to say,Postgraduate,Engineering,No,9,2,Yes,Economics,Beginner,5,No,2,Medium,No,Neutral,Yes,South America,No,2.0
STUD0840,30,Female,Postgraduate,Science,No,5,5,Yes,Computer Science,Intermediate,4,Yes,5,Low,No,Neutral,No,Africa,No,5.0
STUD0841,28,Non-binary,Postgraduate,Business,No,4,4,Yes,Computer Science,Beginner,1,Yes,1,Low,No,Positive,Yes,North America,No,1.0
STUD0842,18,Non-binary,Postgraduate,Engineering,Yes,9,5,No,Computer Science,Beginner,3,No,4,Medium,Yes,Positive,Yes,Asia,No,4.0
STUD0843,29,Female,Undergraduate,Business,No,5,2,Yes,Computer Science,Intermediate,2,Yes,1,Medium,Yes,Negative,Yes,North America,No,1.0
STUD0844,23,Male,High School,Engineering,Yes,6,2,Yes,History,Beginner,2,Yes,3,High,No,Negative,No,Asia,Yes,3.0
STUD0845,26,Prefer not to say,High School,Engineering,Yes,1,1,Yes,Math,Intermediate,5,No,4,High,No,Neutral,Yes,Asia,No,4.0
STUD0846,28,Non-binary,Undergraduate,Science,Yes,6,4,No,Math,Intermediate,3,Yes,1,High,No,Neutral,No,Europe,No,1.0
STUD0847,16,Prefer not to say,Undergraduate,Education,No,10,1,Yes,Art,Advanced,1,Yes,5,Medium,Yes,Positive,Yes,Europe,No,5.0
STUD0848,29,Male,Postgraduate,Engineering,Yes,4,4,No,Art,Advanced,4,Yes,2,High,No,Negative,No,North America,Yes,2.0
STUD0849,30,Male,Undergraduate,Arts,Yes,3,4,No,History,Intermediate,3,Yes,4,Medium,Yes,Positive,No,Africa,Yes,4.0
STUD0850,15,Non-binary,Undergraduate,Arts,Yes,1,3,Yes,Math,Beginner,1,No,5,Medium,Yes,Positive,Yes,Oceania,No,5.0
STUD0851,13,Male,Undergraduate,Engineering,No,3,3,Yes,Biology,Advanced,3,No,3,Medium,No,Negative,Yes,South America,No,3.0
STUD0852,18,Male,High School,Education,Yes,2,5,Yes,Biology,Beginner,3,No,4,Low,No,Negative,Yes,Europe,Yes,4.0
STUD0853,18,Non-binary,High School,Engineering,No,10,2,Yes,Physics,Beginner,3,Yes,2,Low,No,Neutral,No,Europe,Yes,2.0
STUD0854,14,Male,Undergraduate,Engineering,No,5,2,No,Physics,Beginner,5,Yes,4,High,No,Negative,Yes,Oceania,No,4.0
STUD0855,17,Non-binary,Postgraduate,Medicine,No,5,4,Yes,Math,Beginner,4,Yes,3,Medium,No,Neutral,No,South America,Yes,3.0
STUD0856,24,Non-binary,Postgraduate,Medicine,No,8,2,Yes,Computer Science,Advanced,2,No,5,Medium,Yes,Positive,No,Oceania,No,5.0
STUD0857,19,Male,Postgraduate,Education,Yes,8,3,Yes,Computer Science,Advanced,1,No,3,High,Yes,Negative,No,Asia,No,3.0
STUD0858,24,Male,Undergraduate,Business,Yes,1,3,Yes,Math,Intermediate,5,Yes,2,Low,Yes,Negative,Yes,North America,No,2.0
STUD0859,26,Prefer not to say,Postgraduate,Engineering,No,7,5,No,Computer Science,Advanced,1,Yes,5,Medium,No,Positive,No,Asia,No,5.0
STUD0860,16,Male,Postgraduate,Science,No,9,3,Yes,History,Intermediate,2,No,4,Medium,No,Negative,Yes,Africa,No,4.0
STUD0861,25,Non-binary,High School,Science,No,7,5,No,Economics,Intermediate,1,No,5,Medium,Yes,Positive,No,North America,No,5.0
STUD0862,14,Non-binary,Undergraduate,Arts,Yes,2,1,No,History,Advanced,2,No,1,High,No,Negative,No,Oceania,Yes,1.0
STUD0863,20,Female,Postgraduate,Medicine,No,9,4,Yes,Math,Intermediate,3,Yes,1,Medium,Yes,Negative,Yes,Asia,Yes,1.0
STUD0864,30,Prefer not to say,Postgraduate,Science,Yes,8,2,No,Math,Advanced,2,Yes,3,Low,No,Positive,Yes,Asia,No,3.0
STUD0865,14,Male,Postgraduate,Engineering,Yes,2,2,No,Economics,Beginner,1,No,5,High,Yes,Positive,Yes,South America,Yes,5.0
STUD0866,12,Female,High School,Business,No,9,5,Yes,Computer Science,Advanced,1,No,5,High,Yes,Negative,Yes,Asia,No,5.0
STUD0867,22,Prefer not to say,Undergraduate,Law,No,3,5,No,History,Advanced,1,No,2,Medium,No,Neutral,No,North America,No,2.0
STUD0868,25,Prefer not to say,High School,Science,No,3,5,Yes,Math,Beginner,4,No,2,Medium,No,Negative,Yes,South America,No,2.0
